2,2,ECO1[7:0],,,,,,,,0x00
3,3,ECO2[7:0],,,,,,,,0xFF
4,4,ECO3[7:0],,,,,,,,0xFF
5,5,ECO4[7:0],,,,,,,,0x00
6,6,ECO5[7:0],,,,,,,,0xFF
C7,SET IO,1,1,0,0,0,1,1,1,
1,1,PWM_OE,-,INVPLUS,VOUT_OE,HOUT_OE,IPHONE_TYPE[2:0],,,0x07
2,2,-,V_DELAY[2:0],,,SMRPS_IPHONE,H_DELAY[2:0],,,0x00
3,3,-,-,-,-,ESD_ENHANCE,SDO_EN,SPI_DCX_SEL_REG,DMA1A8H,0x0A
4,4,VOUT_H_DELAY[7:0],,,,,,,,0x00
5,5,VOUT_H_WIDTH[8:1],,,,,,,,0x00
6,6,-,-,-,-,VOUT_H_WIDTH[0],VOUT_INV,VOUT_TYPE[1:0],,0x00
C8,SETCABC,1,1,0,0,1,0,0,0,
1,1,-,PWMDIV[2:0],,,-,-,-,-,0x10
2,2,PWM_PERIOD[7:0],,,,,,,,0x40
3,3,-,DIM_FRAME[6:0],,,,,,,0x1E
4,4,-,-,-,-,-,-,DATA_GAIN_USE_CMB,CADBV_IGNORE_BAR,0x03
C9,SETCABCGAIN,1,1,0,0,1,0,0,1,
1,1,-,DBG0[6:0],,,,,,,0x40
2,2,-,DBG1[6:0],,,,,,,0x3C
3,3,-,DBG2[6:0],,,,,,,0x38
4,4,-,DBG3[6:0],,,,,,,0x34
5,5,-,DBG4[6:0],,,,,,,0x33
6,6,-,DBG5[6:0],,,,,,,0x32
7,7,-,DBG6[6:0],,,,,,,0x2B
8,8,-,DBG7[6:0],,,,,,,0x24
9,9,-,DBG8[6:0],,,,,,,0x22
CB,SETCLOCK,1,1,0,0,1,0,1,1,
1,1,OSC_DIV2,FORCE_ULP[2:0],,,-,FRADJ[2:0],,,0x03
2,2,-,CTUNE[2:0],,,FTUNE[3:0],,,,0x48
CC,SETPANEL,1,1,0,0,1,1,0,0,
1,1,-,-,-,-,SS_PANEL,GS_PANEL,REV_PANEL,BGR_PANEL,0x00
CD,DGC_R,1,1,0,0,1,1,0,1,
1,1,-,-,-,-,-,DITH_EN,DITH_OPT,DGC_EN,0x00
2,2,DGC_LUT_R00[7:0],,,,,,,,0x80
:,: ,:,,,,,,,,0x80
22,34,DGC_LUT_R32[7:0],,,,,,,,0x80
CE,DGC_G,1,1,0,0,1,1,1,0,
1,1,DGC_LUT_G00[7:0],,,,,,,,0x80
:,: ,:,,,,,,,,0x80
21,33,DGC_LUT_G32[7:0],,,,,,,,0x80
CF,DGC_B,1,1,0,0,1,1,1,1,
1,1,DGC_LUT_B00[7:0],,,,,,,,0x80
:,: ,:,,,,,,,,0x80
21,33,DGC_LUT_B32[7:0],,,,,,,,0x80
D0,GETID,1,1,0,1,0,0,0,0,
1,1,FORCELEAD_ID[7:0] ,,,,,,,,0x0D
2,2,DUMMY,,,,,,,,
3,3,DUMMY,,,,,,,,
4,4,DUMMY,,,,,,,,
5,5,DUMMY,,,,,,,,
6,6,VERSION[7:0] ,,,,,,,,0x01
E0,SETGAMMA,1,1,1,0,0,0,0,0,
1,1,-,-,PVR0[5:0],,,,,,00H
2,2,-,-,PVR1[5:0],,,,,,0CH
3,3,-,-,PVR2[5:0],,,,,,11H
4,4,-,-,PVR3[5:0],,,,,,0AH
5,5,-,-,PVR4[5:0],,,,,,10H
6,6,-,-,PVR5[5:0],,,,,,3FH
7,7,-,PPR0[6:0],,,,,,,1CH
8,8,-,PPR1[6:0],,,,,,,2BH
9,9,-,-,-, PPK0[4:0],,,,,06H
A,10,-,-,-,PPK1[4:0],,,,,0EH
B,11,-,-,-,PPK2[4:0],,,,,10H
C,12,-,-,-,PPK3[4:0],,,,,15H
D,13,-,-,-,PPK4[4:0],,,,,16H
E,14,-,-,-,PPK5[4:0],,,,,15H
F,15,-,-,-,PPK6[4:0],,,,,16H
10,16,-,-,-,PPK7[4:0],,,,,10H
11,17,-,-,-,PPK8[4:0],,,,,17H
12,18,-,-,NVR0[5:0],,,,,,00H
13,19,-,-,NVR1[5:0],,,,,,0CH
14,20,-,-,NVR2[5:0],,,,,,11H
15,21,-,-,NVR3[5:0],,,,,,0AH
16,22,-,-,NVR4[5:0],,,,,,10H
17,23,-,-,NVR5[5:0],,,,,,3FH
18,24,-,NPR0[6:0],,,,,,,1CH
19,25,-,NPR1[6:0],,,,,,,2BH
1A,26,-,-,-,NPK0[4:0],,,,,06H
1B,27,-,-,-,NPK1[4:0],,,,,0EH
1C,28,-,-,-,NPK2[4:0],,,,,10H
1D,29,-,-,-,NPK3[4:0],,,,,15H
1E,30,-,-,-,NPK4[4:0],,,,,16H
1F,31,-,-,-,NPK5[4:0],,,,,15H
20,32,-,-,-,NPK6[4:0],,,,,16H
21,33,-,-,-,NPK7[4:0],,,,,10H
22,34,-,-,-,NPK8[4:0],,,,,17H
E1,SETPOWER2,1,1,1,0,0,0,0,1,
1,1,-,VGH_DT_ON[2:0],,,-,VGH_DT_OFF[2:0],,,0x11
2,2,-,VGL_DT_ON[2:0],,,-,VGL_DT_OFF[2:0],,,0x11
3,3,PUR_VSN,VGH_WP[2:0],,,-,VGL_WP[2:0],,,0x91
E3,SETEQ,1,1,1,0,0,0,1,1,
1,1,PNOEQ[7:0],,,,,,,,0x00
2,2,NNOEQ[7:0],,,,,,,,0x00
3,3,PEQGND[7:0],,,,,,,,0x03
4,4,NEQGND[7:0],,,,,,,,0x03
5,5,PEQVCI[7:0],,,,,,,,0x03
6,6,NEQVCI[7:0],,,,,,,,0x03
7,7,PEQVCI1[7:0],,,,,,,,0x03
8,8,NEQVCI1[7:0],,,,,,,,0x03
9,9,VCOM_PULLGNDOFF[7:0],,,,,,,,0x00
A,10,VCOM_PULLGNDON[7:0],,,,,,,,0x00
B,11,VCOMIDLE_ON[7:0],,,,,,,,0xFF
C,12,EACH_OPON_EN,EACH_VCI_EN,EACH_GND_EN,-,-,-,-,-,0x80
D,13,ESD_DET_DATA_WHITE,ESD_WHITE_EN,ESD_OPT_P[1:0],,ESD_OPT_G[1:0],,ESD_OPT_S[1:0],,0xC0
E,14,-,-,-,SLPIN_OPTION,VEDIO_NO_CHECK_EN,ESD_WHITE_GND_EN,ESD_DET_TIME_SEL[1:0],,0x14
E4,SETCOLOR_EN,1,1,1,0,0,1,0,0,
1,1,-,-,-,-,-,-,-,CE_MASK,0x01
E5,SETCOLOR_EN,1,1,1,0,0,1,0,1,
1,1,SP_LEVEL[1:0],,CE_EN,-,-,-,-,-,0x00
2,2,,,,,,-,-,-,
3,3,-,-,-,Blue_3[12:8],,,,,0x08
4,4,Blue_3[7:0]  ,,,,,,,,0x32
5,5,-,-,-,Blue_2[12:8] ,,,,,0x1c
6,6,Blue_2[7:0]  ,,,,,,,,0x71
7,7,-,-,-,Blue_1[12:8] ,,,,,0x1f
8,8,Blue_1[7:0]  ,,,,,,,,0x90
9,9,-,-,-,Green_3[12:8],,,,,0x1e
A,10,Green_3[7:0] ,,,,,,,,0xcd
B,11,-,-,-,Green_2[12:8],,,,,0x07
C,12,Green_2[7:0] ,,,,,,,,0x4c
D,13,-,-,-,Green_1[12:8],,,,,0x1e
E,14,Green_1[7:0] ,,,,,,,,0x06
F,15,-,-,-,Red_3[12:8] ,,,,,0x1f
10,16,Red_3[7:0]   ,,,,,,,,0x66
11,17,-,-,-,Red_2[12:8] ,,,,,0x1e
12,18,Red_2[7:0]   ,,,,,,,,0x2a
13,19,-,-,-,Red_1[12:8]  ,,,,,0x06
14,20,Red_1[7:0]   ,,,,,,,,0x70
E7,,dsi cmd use don't use,,,,,,,,
E8,,,,,,,,,,
E9,SET GIP 1,1,1,1,0,1,0,0,1,
1,1,REF_EN,BLOCK_DATA_EN,-,-,PANEL_SEL[3:0],,,,0x44
2,2,-,-,-,SHR0[12:8],,,,,0x00
3,3,SHR0[7:0],,,,,,,,0x00
4,4,-,-,-,SHR1[12:8],,,,,0x00
5,5,SHR1[7:0],,,,,,,,0x00
6,6,SPON[7:0],,,,,,,,0x00
7,7,SPOFF[7:0],,,,,,,,0x00
8,8,SHR0_1[3:0],,,,SHR0_2[3:0],,,,0x00
9,9,SHR0_3[3:0],,,,SHR1_1[3:0],,,,0x00
A,10,SHR1_2[3:0],,,,SHR1_3[3:0],,,,0x00
B,11,SHP[3:0],,,,SCP[3:0],,,,0x00
C,12,CHR[7:0],,,,,,,,0x00
D,13,CON[7:0],,,,,,,,0x02
E,14,COFF[7:0],,,,,,,,0x02
F,15,CHP[3:0],,,,CCP[3:0],,,,0x00
10,16,USER_GIP_GATE[7:0],,,,,,,,0x00
11,17,-,-,CGTS_L[21:16],,,,,,0x00
12,18,CGTS_L[15:8],,,,,,,,0x00
13,19,CGTS_L[7:0],,,,,,,,0x00
14,20,-,-,CGTS_INV_L[21:16],,,,,,0x00
15,21,CGTS_INV_L[15:8],,,,,,,,0x00
16,22,CGTS_INV_L[7:0],,,,,,,,0x00
17,23,-,-,CGTS_R[21:16],,,,,,0x00
18,24,CGTS_R[15:8],,,,,,,,0x00
19,25,CGTS_R[7:0],,,,,,,,0x00
1A,26,-,-,CGTS_INV_R[21:16],,,,,,0x00
1B,27,CGTS_INV_R[15:8],,,,,,,,0x00
1C,28,CGTS_INV_R[7:0],,,,,,,,0x00
1D,29,COS1_L[3:0],,,,COS2_L[3:0],,,,0x00
1E,30,COS3_L[3:0],,,,COS4_L[3:0],,,,0x00
1F,31,COS5_L[3:0],,,,COS6_L[3:0],,,,0x00
20,32,COS7_L[3:0],,,,COS8_L[3:0],,,,0x00
21,33,COS9_L[3:0],,,,COS10_L[3:0],,,,0x00
22,34,COS11_L[3:0],,,,COS12_L[3:0],,,,0x00
23,35,COS13_L[3:0],,,,COS14_L[3:0],,,,0x00
24,36,COS15_L[3:0],,,,COS16_L[3:0],,,,0x00
25,37,COS17_L[3:0],,,,COS18_L[3:0],,,,0x00
26,38,COS19_L[3:0],,,,COS20_L[3:0],,,,0x00
27,39,COS21_L[3:0],,,,COS22_L[3:0],,,,0x00
28,40,COS1_R[3:0],,,,COS2_R[3:0],,,,0x00
29,41,COS3_R[3:0],,,,COS4_R[3:0],,,,0x00
2A,42,COS5_R[3:0],,,,COS6_R[3:0],,,,0x00
2B,43,COS7_R[3:0],,,,COS8_R[3:0],,,,0x00
2C,44,COS9_R[3:0],,,,COS10_R[3:0],,,,0x00
2D,45,COS11_R[3:0],,,,COS12_R[3:0],,,,0x00
2E,46,COS13_R[3:0],,,,COS14_R[3:0],,,,0x00
2F,47,COS15_R[3:0],,,,COS16_R[3:0],,,,0x00
30,48,COS17_R[3:0],,,,COS18_R[3:0],,,,0x00
31,49,COS19_R[3:0],,,,COS20_R[3:0],,,,0x00
32,50,COS21_R[3:0],,,,COS22_R[3:0],,,,0x00
33,51,TCON_OPT[7:0],,,,,,,,0x00
34,52,GON ,GIP_OPT[22:16],,,,,,,0x00
35,53,GIP_OPT[15:8],,,,,,,,0x00
36,54,GIP_OPT[7:0],,,,,,,,0x00
37,55,CHR2[7:0],,,,,,,,0x00
38,56,CON2[7:0],,,,,,,,0x02
39,57,COFF2[7:0],,,,,,,,0x02
3A,58,CHP2[3:0],,,,CCP2[3:0],,,,0x00
3B,59,-,-,CKS[21:16],,,,,,0x00
3C,60,CKS[15:8],,,,,,,,0x00
3D,61,CKS[7:0],,,,,,,,0x00
3E,62,COFF[9:8],,CON[9:8],,SPOFF[9:8],,SPON[9:8],,0x00
3F,63,COFF2[9:8],,CON2[9:8],,-,-,-,-,0x00
EA,SET GIP 2,1,1,1,0,1,0,1,0,
1,1,ys2_sel[1:0],,ys1_sel[1:0],,ys2_xor,ys1_xor,ys_flag_en,all_on_en,0x94
